code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300514,友讯达,通信设备,深圳,0.0,0.9,2.0,86600.17,77437.11,2326.06,11389.96,0.57,-0.035,2.61,5.07,20170426,18259.84,0.91,1.05,-185.86,27.63,-6.68,19700.0
300493,润欣科技,通信设备,上海,127.98,4.77,4.77,111783.35,90611.61,231.82,24386.47,0.51,0.015,1.52,5.15,20151210,14373.45,0.3,-9.86,-44.98,9.93,2.18,24633.0
300353,东土科技,通信设备,北京,7.99,3.66,5.17,358248.59,176588.16,12471.88,131597.05,2.55,0.395,4.78,2.64,20120927,59540.78,1.15,-22.58,1534.21,39.28,153.31,57017.0
002369,卓翼科技,通信设备,深圳,190.3,4.2,5.79,329335.56,140495.67,120974.86,130041.65,2.25,0.01,3.42,2.32,20100316,4951.05,0.09,-27.04,-47.63,14.77,1.06,48000.0
300762,上海瀚讯,通信设备,上海,0.0,0.33,1.33,146087.27,142634.81,779.59,73321.38,5.5,-0.036000000000000004,8.24,7.1,20190314,20670.92,1.55,0.0,0.0,51.57,-11.17,63411.0
300394,天孚通信,通信设备,江苏,38.7,1.64,1.99,123576.32,86203.8,24889.96,40573.51,2.04,0.17,5.56,4.74,20150217,44839.3,2.25,12.99,23.53,55.08,30.27,16168.0
603803,瑞斯康达,通信设备,北京,32.54,2.2,4.21,407883.34,356414.97,27717.58,68512.63,1.63,0.099,5.98,2.16,20170420,123969.55,2.94,60.8,16.38,30.37,5.73,32143.0
300074,华平股份,通信设备,上海,0.0,4.88,5.42,152114.86,79801.61,29820.2,24210.76,0.45,-0.022000000000000002,2.2,1.87,20100427,39023.53,0.72,-17.26,-28.01,43.63,-16.68,28867.0
600677,航天通信,通信设备,浙江,17.42,4.16,5.22,1567877.13,1179119.25,170586.31,212387.3,4.07,0.23800000000000002,6.82,2.43,19930928,89480.46,1.71,-43.12,1055.0,16.08,7.86,91700.0
300136,信维通信,通信设备,深圳,23.9,8.1,9.76,750872.44,388084.44,84233.18,27450.35,0.28,0.247,4.01,5.89,20101105,263305.97,2.7,26.92,14.85,36.53,22.04,78965.0
300101,振芯科技,通信设备,四川,428.86,5.5,5.59,147623.59,101904.43,7454.31,12259.88,0.22,0.006,1.67,6.2,20100806,25619.57,0.46,-1.87,-86.82,37.08,3.33,66506.0
300264,佳创视讯,通信设备,深圳,0.0,3.19,4.13,79041.95,47618.85,1204.49,9648.55,0.23,-0.027999999999999997,1.3,4.26,20110916,114.03,0.0,-63.83,-258.58,27.62,-35.91,21071.0
601138,工业富联,通信设备,深圳,20.44,16.09,198.44,16942480.0,15897840.0,719936.38,2521415.75,1.27,0.15,3.81,3.11,20180608,2958454.0,1.49,3.12,8.31,8.18,3.59,303691.0
600562,国睿科技,通信设备,江苏,131.66,6.02,6.22,287243.5,267192.06,12018.5,35164.96,0.57,0.027999999999999997,2.88,5.07,20030128,71689.82,1.15,17.69,-1.55,22.88,8.4,28100.0
603118,共进股份,通信设备,深圳,20.04,7.76,7.76,808810.75,507750.44,167533.42,264008.28,3.4,0.11,5.92,1.49,20150225,105441.67,1.36,20.53,8634.76,14.48,4.19,48096.0
300213,佳讯飞鸿,通信设备,北京,140.54,4.44,5.95,305515.72,204073.42,17553.28,75532.31,1.27,0.012,3.24,2.1,20110505,55564.69,0.93,-10.55,-42.67,36.39,3.25,35373.0
002861,瀛通通讯,通信设备,湖北,101.69,0.5,1.23,139123.02,85722.99,28680.3,42653.96,3.48,0.049,8.38,2.38,20170413,45272.21,3.69,48.0,15.85,20.1,2.5,11600.0
300397,天和防务,通信设备,陕西,52.94,1.54,2.4,145715.98,71872.85,36621.25,52333.48,2.18,0.09300000000000001,4.47,4.42,20140910,26751.15,1.11,358.46,272.25,49.74,13.59,20605.0
002383,合众思壮,通信设备,北京,0.0,4.86,7.45,907996.63,524856.38,46349.92,247776.63,3.33,-0.038,5.16,2.05,20100402,65907.31,0.88,-66.18,-152.42,55.42,-9.48,42600.0
603516,淳中科技,通信设备,北京,44.53,0.88,1.31,81488.53,61184.67,7767.61,46336.68,3.54,0.141,5.91,4.23,20180202,16039.25,1.22,-0.78,-19.55,68.3,26.17,11473.0
000561,烽火电子,通信设备,陕西,0.0,5.94,6.05,298486.16,235237.8,26977.5,21084.03,0.35,-0.03,2.24,3.11,19940509,59786.01,0.99,-2.28,6.22,37.48,-10.4,51597.0
600130,波导股份,通信设备,浙江,0.0,7.68,7.68,102381.5,69677.96,7186.74,45592.21,0.59,-0.005,1.14,3.43,20000706,-42300.8,-0.55,-16.64,-151.26,8.75,-2.58,86654.0
603322,超讯通信,通信设备,广东,0.0,0.63,1.57,216017.22,180559.02,6080.23,22177.57,1.42,-0.146,2.98,7.39,20160728,13214.86,0.84,34.04,-237.44,17.48,-7.88,16578.0
000801,四川九洲,通信设备,四川,217.34,10.23,10.23,537904.44,477323.06,34559.84,27729.85,0.27,0.006999999999999999,2.36,2.58,19980506,104778.74,1.02,-6.14,70.08,18.92,1.06,54422.0
603421,鼎信通讯,通信设备,山东,202.41,0.73,4.7,337736.41,191901.88,66420.7,114171.63,2.43,0.03,6.0,3.62,20161011,109022.97,2.32,-16.21,-58.44,39.48,5.52,24700.0
603602,纵横通信,通信设备,浙江,0.0,0.93,1.57,114515.86,99956.57,1266.85,21336.5,1.36,-0.03,4.28,5.35,20170810,29999.9,1.91,16.55,-35.11,13.74,-5.15,24969.0
000687,华讯方舟,通信设备,河北,0.0,7.53,7.66,399509.69,258610.97,23154.21,89808.15,1.17,-0.027000000000000003,1.27,5.54,19970221,-63736.95,-0.83,-16.09,-218.21,13.07,-6.6,62436.0
002465,海格通信,通信设备,广东,166.29,21.02,23.05,1138520.0,745247.88,117494.82,385192.78,1.67,0.013000000000000001,3.67,2.45,20100831,195457.31,0.85,-1.0,16.45,30.34,4.12,119279.0
002413,雷科防务,通信设备,江苏,111.35,10.06,10.81,412438.44,181604.25,17319.26,189957.41,1.76,0.013999999999999999,3.35,1.89,20100528,62036.82,0.57,35.6,-44.73,46.11,8.85,61832.0
002313,日海智能,通信设备,深圳,215.32,3.11,3.12,686745.13,548139.13,30044.01,105721.51,3.39,0.023,6.53,3.04,20091203,60753.65,1.95,136.45,477.43,15.08,0.51,20000.0
600764,中国海防,通信设备,北京,227.93,3.29,3.95,145919.75,107161.82,29903.5,41715.71,1.06,0.027999999999999997,2.72,9.41,19961104,23819.06,0.6,14.14,278.4,48.89,19.22,13441.0
600260,凯乐科技,通信设备,湖北,9.17,6.76,7.15,1894079.63,1607777.75,89648.46,219524.0,3.07,0.504,8.25,2.24,20000706,262857.63,3.68,5.39,18.75,15.72,9.2,39380.0
000889,中嘉博创,通信设备,河北,34.43,6.22,6.69,529317.88,207162.8,7635.53,176904.3,2.64,0.078,5.44,1.98,19971218,111243.61,1.66,39.92,-19.91,15.7,6.33,18000.0
