,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
98,海南高速,0.4865,0.0684,1.3528,0.4455,50.858999999999995
99,捷捷微电,0.4863,0.1675,1.5778,1.2429999999999999,137.6064
100,中南建设,0.4845,0.0824,8.4027,0.0899,11.0963
101,川投能源,0.4832,0.013000000000000001,0.1157,0.0617,7.8606
102,厦门空港,0.4825,0.1853,1.6278,1.0418,107.3997
103,粤宏远A,0.4813,0.1265,11.0453,0.249,38.2199
104,伟明环保,0.4808,0.1296,1.008,0.2804,112.7521
105,山西路桥,0.4803,0.0841,16.8348,0.0949,29.3116
106,上海机场,0.4797,0.1444,1.0082,1.9473,195.3678
107,华仪电气,0.4756,0.1031,,0.2405,25.0337
108,亿通科技,0.4745,0.1127,12.1928,1.2698,138.6293
109,大名城,0.473,0.1323,8.3007,0.183,26.0097
110,兴业矿业,0.4705,0.1285,,0.3003,58.8513
111,国投电力,0.4686,0.0871,2.2943,0.1277,54.6476
112,天目湖,0.4605,0.2,1.9093,0.9882,139.5874
113,宁波港,0.4598,0.1366,3.1373,0.3183,41.6483
114,兴蓉环境,0.4594,0.0913,1.8944,0.1956,32.6678
115,重庆水务,0.4576,0.1185,1.7004,0.4079,73.3404
116,中国国贸,0.4556,0.1302,1.8627,0.3464,72.5734
117,三联虹普,0.4539,0.1066,2.4548,0.28600000000000003,35.5678
118,丽江旅游,0.4531,0.1132,1.5332,1.8545,194.2601
119,重庆路桥,0.4508,0.0166,0.4807,0.0362,9.5441
120,辉丰股份,0.4499,0.1902,,0.4438,71.2586
121,泰禾集团,0.4496,0.0573,3.5621,0.0659,10.8048
122,大禹节水,0.4483,0.2088,7.2782,0.3519,40.719
123,中华企业,0.4436,0.1511,2.6308,0.2087,27.595
124,透景生命,0.4422,0.1463,1.1385,2.0502,226.3317
125,招商港口,0.442,0.0335,1.486,0.0901,43.2734
126,四川成渝,0.4389,0.0724,2.9081,0.1229,48.8614
127,凯美特气,0.4368,0.156,2.273,0.4946,71.0792
128,北部湾港,0.435,0.107,2.5756,0.2744,47.9521
129,大博医疗,0.4335,0.2011,0.8857,1.6159999999999999,189.6757
130,昭衍新药,0.4307,0.1543,1.6275,0.3594,43.03
131,赣粤高速,0.4295,0.0587,1.7543,0.1153,33.536
132,掌趣科技,0.4293,0.1444,,1.1601,120.8891
133,华铁科技,0.4268,0.0623,2.8587,0.184,19.7365
134,恒基达鑫,0.4247,0.0694,2.0582,0.3562,52.0801
135,博通股份,0.423,0.1079,7.9392,0.1486,14.9365
136,新易盛,0.4219,0.2324,10.0724,1.3154,134.7051
137,新和成,0.4215,0.1669,1.1813,0.6399,80.1385
138,思维列控,0.4208,0.0795,1.1912,1.3355,134.4326
139,北方导航,0.4205,0.1692,6.5723,0.3833,38.8025
140,新天然气,0.4193,0.0861,1.6283,0.248,93.5918
141,乐凯新材,0.4141,0.1652,1.0626,2.4771,416.9588
142,我武生物,0.4123,0.1952,0.8904,3.3047,358.3076
143,湖南发展,0.41200000000000003,0.0343,1.4836,0.4887,120.7535
144,昆仑万维,0.4118,0.1668,0.9836,0.4193,48.836999999999996
145,奇正藏药,0.4116,0.2159,1.5732,1.8666,246.8874
146,美凯龙,0.4114,0.0528,1.2449,0.0893,23.1412
147,星源材质,0.4108,0.0672,1.1826,0.1182,37.489000000000004
148,三环集团,0.4105,0.1814,1.1631,1.0515,143.6707
149,洲际油气,0.4081,0.0923,6.5735,0.1472,28.443
150,财信发展,0.4081,0.0997,24.0651,0.1185,15.0116
151,千山药机,0.4079,0.0321,,0.0191,2.1614
152,每日互动,0.4062,0.1792,0.8744,2.4711,247.1116
153,深物业A,0.4031,0.1931,1.8958,0.4532,46.3327
154,山鼎设计,0.40299999999999997,0.2156,3.2609,0.981,110.2181
155,恒源煤电,0.4029,0.1645,1.9433,0.3658,47.975
156,白云机场,0.4027,0.1153,2.6846,0.2755,31.9208
157,昊华能源,0.4024,0.1124,2.8319,0.2895,90.5658
158,北大荒,0.4024,0.1648,1.4355,0.7888,85.0858
159,捷成股份,0.4023,0.1266,22.2165,0.3281,39.4398
160,华兰生物,0.4018,0.1991,1.0687,1.7942,179.4161
161,南京港,0.4012,0.0614,1.5088,0.1915,34.3309
162,中远海发,0.4009,0.0475,4.5538,0.0547,11.9311
163,海特高新,0.4009,0.0334,4.6942,0.0915,17.3492
164,威帝股份,0.4007,0.0957,1.242,0.4171,145.4949
165,*ST盐湖,0.3995,0.0953,,0.1272,21.7299
166,三安光电,0.3992,0.1085,1.18,0.35,61.6096
167,广州港,0.3956,0.1357,3.8228,0.3363,72.4545
168,塔牌集团,0.3945,0.239,1.5172,1.3344,143.3788
169,恺英网络,0.3924,0.1477,3.0221,0.9394,97.1422
170,秦港股份,0.3922,0.1039,3.8883,0.2459,68.1437
171,江苏有线,0.392,0.0959,3.8564,0.3087,33.9182
172,广电电气,0.3907,0.0823,1.8472,0.7898,83.728
173,宁波富达,0.3896,0.2555,2.1957,0.4056,93.3686
174,藏格控股,0.3894,0.1314,0.9815,0.6841,69.5505
175,国城矿业,0.3892,0.1818,1.1831,1.689,191.8918
176,佛塑科技,0.3885,0.1878,9.0691,0.3334,42.1862
177,新华传媒,0.3882,0.1396,17.8584,0.4377,43.771
178,君正集团,0.3874,0.1335,1.4399,0.4097,60.5714
179,上海环境,0.3873,0.0666,1.484,0.13,28.1375
180,阳光城,0.3866,0.0829,5.5886,0.0982,13.9195
181,新集能源,0.3857,0.1154,8.2938,0.1452,30.9177
182,中国巨石,0.385,0.1272,1.6194,0.2446,31.3069
183,海泰发展,0.3845,0.085,20.496,0.1635,20.1036
184,新媒股份,0.3831,0.2346,1.2034,0.7299,78.3337
185,三特索道,0.3831,0.0867,1.7499,0.1315,29.3616
186,花园生物,0.3828,0.1535,0.8221,2.987,309.1167
187,宁德时代,0.3822,0.1532,3.0291,0.2925,36.4043
188,同花顺,0.3809,0.1279,0.8332,0.6679,67.17
189,京汉股份,0.3782,0.0889,8.5289,0.1175,14.8121
190,中洲控股,0.3779,0.0652,7.2336,0.0782,10.7233
191,健帆生物,0.3778,0.1872,0.9579,1.1637,137.71200000000002
192,招商轮船,0.3771,0.0825,3.7825,0.1391,25.445999999999998
193,亿联网络,0.3765,0.1823,0.8028,2.728,273.9794
194,信达地产,0.3765,0.0696,2.8141,0.0876,12.8283
195,洋河股份,0.3749,0.1827,1.1159999999999999,0.5682,57.9513
196,华明装备,0.3741,0.1071,2.5332,0.2549,44.4187
197,歌华有线,0.3737,0.0639,1.4672,0.3529,54.8763
198,钱江水利,0.3736,0.0791,4.3939,0.1434,23.1198
199,光大嘉宝,0.3732,0.0707,1.5182,0.1047,18.7092
200,联美控股,0.373,0.10300000000000001,0.8397,0.2355,41.5649
201,国中水务,0.3718,0.0342,19.5113,0.1099,13.4811
202,潞安环能,0.3715,0.1431,4.8112,0.2183,27.7394
203,江龙船艇,0.3714,0.1891,5.5991,0.2987,31.0021
204,峨眉山A,0.3708,0.1383,1.9042,0.7955,139.1806
205,迅游科技,0.3702,0.0972,,0.4881,57.4578
206,数据港,0.3688,0.1262,2.3422,0.2032,30.932
207,纳川股份,0.3659,0.1314,,0.2106,28.5327
208,小商品城,0.3638,0.0486,1.2548,0.0868,9.9676
209,洛阳钼业,0.3634,0.0932,1.8319,0.1828,59.0443
210,九华旅游,0.363,0.1346,1.9132,0.8451,93.5948
211,拓尔思,0.3626,0.1154,4.1551,0.4072,41.1804
212,太阳能,0.3625,0.0534,2.1343,0.0855,24.5671
213,江南水务,0.3624,0.0751,1.6858,0.2122,30.2805
214,梅雁吉祥,0.3619,0.0343,3.0234,2.0527,215.783
215,今天国际,0.3597,0.099,8.617,0.2015,20.84
216,正海生物,0.3594,0.1327,0.9027,1.4088,189.1426
217,数源科技,0.3584,0.17,8.5848,0.2772,27.7269
218,旭升股份,0.3578,0.1627,1.3348,0.4065,68.8908
219,四川双马,0.3577,0.1663,0.9859,1.0135,102.40700000000001
220,吉视传媒,0.3576,0.0537,2.3367,0.1165,20.204
221,国电电力,0.3537,0.085,12.8051,0.1151,31.6631
222,山大华特,0.3529,0.1857,2.2482,0.9636,111.5573
223,华懋科技,0.3521,0.1339,1.2526,1.297,151.78799999999998
224,海天味业,0.35200000000000004,0.2977,1.3732,0.9585,97.5281
225,营口港,0.3515,0.1046,1.6336,0.4232,86.1747
226,永安行,0.3513,0.1164,2.4949,0.3362,39.863
227,科迪乳业,0.3503,0.1331,3.4859,0.2798,28.4015
228,汉威科技,0.3496,0.1043,4.8928,0.1734,32.4827
229,新坐标,0.3493,0.1356,1.012,1.2365,140.0594
230,祥和实业,0.3488,0.1291,1.4394,1.569,162.4263
231,长青集团,0.3487,0.1398,4.254,0.2419,40.2895
232,桂林三金,0.3482,0.162,1.3348,0.9204,113.7606
233,恒宝股份,0.348,0.2614,3.9845,2.1966,235.2201
234,华数传媒,0.3478,0.0809,1.8549,0.2918,44.7943
235,森霸传感,0.3468,0.1264,0.9041,2.4692,266.6987
236,香梨股份,0.3465,0.0492,3.2569999999999997,0.8348,225.2706
237,ST岩石,0.3464,0.9201,18.9279,3.8461,541.4872
238,陕西煤业,0.3453,0.1639,1.2404,0.3649,68.8941
239,焦点科技,0.3445,0.1188,5.6031,0.4401,46.3205
240,焦点科技,0.3445,0.1188,5.6031,0.4401,46.3205
241,上峰水泥,0.3427,0.2596,1.2224,0.5291,56.6797
242,陆家嘴,0.3416,0.0553,1.0517,0.078,12.625
243,美亚光电,0.3415,0.1562,0.9458,1.0524,124.1583
244,*ST神城,0.3411,0.0862,,0.0887,9.2651
245,瀚蓝环境,0.3407,0.1002,1.8798,0.1641,43.5797
246,东方通,0.3404,0.0623,1.0367,0.2077,25.7364
247,海峡股份,0.3397,0.0919,1.6932,1.4497,176.1154
248,蓝黛传动,0.3391,0.1176,101.8283,0.233,56.2459
249,新宏泽,0.3389,0.1805,1.919,1.0562,110.6448
250,安图生物,0.3388,0.2461,1.1369,0.9465,107.0296
251,华钰矿业,0.3388,0.0996,1.7839,0.309,50.0611
252,沧州大化,0.3385,0.3252,1.3991,2.3297,266.8976
253,*ST西发,0.3372,0.0962,,0.2145,23.8818
254,金时科技,0.3368,0.2091,1.1257,1.6053,162.2682
255,法拉电子,0.3365,0.1928,1.2589,1.1527,122.8725
256,新光药业,0.3358,0.1128,1.0543,1.3399,159.7692
257,精锻科技,0.3353,0.1523,1.64,0.4672,63.7553
