,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
909,庄园牧场,0.1577,0.0506,1.6326,0.1201,13.2856
910,新天科技,0.1576,0.0546,0.8586,0.2816,30.4547
911,博济医药,0.1573,0.0447,2.4008,0.1484,16.3844
912,和邦生物,0.1572,0.0711,3.1669,0.4522,53.6472
913,闽东电力,0.1572,0.0229,,0.0459,8.6102
914,中金环境,0.1563,0.069,1.5216,0.1371,18.0274
915,展鹏科技,0.156,0.0525,0.6628,0.494,49.4038
916,设计总院,0.1559,0.0828,0.5889,0.2699,27.4421
917,湘油泵,0.1558,0.1043,1.4516,0.2348,33.8939
918,华鹏飞,0.1557,0.0682,,0.1417,15.4244
919,康跃科技,0.1556,0.0658,1.376,0.2101,21.9621
920,东华测试,0.155,0.0534,1.1801,0.6566,94.0293
921,博云新材,0.1547,0.036000000000000004,2.8451,0.1256,15.3296
922,天津港,0.1546,0.059000000000000004,2.0626,0.1528,25.3843
923,海格通信,0.1546,0.0546,1.4084,0.2352,29.8619
924,珠海中富,0.1545,0.1007,12.3684,0.1333,19.0906
925,博通集成,0.1545,0.1572,0.6811,0.8228,86.3243
926,ST中南,0.1545,0.0291,,0.0509,5.8955
927,电魂网络,0.1544,0.0358,0.5701,0.318,32.0745
928,风语筑,0.1544,0.0767,1.2504,0.1297,12.9659
929,凯中精密,0.1542,0.0904,2.2689,0.1682,31.1622
930,环球印务,0.1541,0.0865,2.7553,0.2031,20.3196
931,京运通,0.154,0.0205,0.7192,0.0377,7.8192
932,菲林格尔,0.154,0.1207,1.3014,0.5381,55.2673
933,国茂股份,0.154,0.1251,1.2478,0.2697,27.3064
934,郑州煤电,0.1538,0.0581,1.8954,0.0885,9.3896
935,韶钢松山,0.1535,0.2533,1.2584,0.4059,42.0284
936,西麦食品,0.1533,0.1742,0.953,0.5762,58.6758
937,申通快递,0.153,0.2193,1.2686,0.7886,79.7774
938,水井坊,0.1529,0.1348,0.7440000000000001,0.3214,32.908
939,弘信电子,0.1528,0.1424,3.2326,0.1881,22.4398
940,长鹰信质,0.1527,0.1168,1.4101,0.3484,44.0116
941,保变电气,0.1525,0.0668,,0.0771,8.0633
942,润都股份,0.1524,0.1397,1.4886,0.5954,105.5622
943,利民股份,0.1524,0.0847,1.1072,0.2697,29.7577
944,国星光电,0.1522,0.0903,1.2723,0.2079,22.3815
945,淮北矿业,0.1521,0.1411,2.1079,0.2152,27.1768
946,志邦家居,0.152,0.1328,1.3552,0.4054,42.0733
947,普利制药,0.1519,0.0855,0.5224,0.42,57.8667
948,富春环保,0.1518,0.0782,2.616,0.249,25.9458
949,荣科科技,0.1517,0.0647,4.4213,0.1641,19.041
950,正业科技,0.1517,0.0676,11.4593,0.1854,20.5711
951,富祥股份,0.1512,0.0801,0.9145,0.1676,18.285999999999998
952,川能动力,0.1511,0.0893,1.5712,0.1877,51.1616
953,天华超净,0.151,0.1036,2.2082,0.4728,50.9038
954,强力新材,0.151,0.0593,0.8154,0.469,48.0039
955,城市传媒,0.1509,0.087,0.9412,0.2736,32.7673
956,华媒控股,0.1508,0.0812,1.683,0.2342,24.1393
957,华胜天成,0.1508,0.0777,,0.1616,18.3403
958,申通地铁,0.1506,0.0414,3.6944,0.0902,14.5516
959,索菲亚,0.1504,0.1408,1.1406,0.4482,50.258
960,胜宏科技,0.1503,0.092,1.3055,0.2051,20.7196
961,青岛啤酒,0.1502,0.1172,2.5573,0.2595,33.0276
962,汉邦高科,0.1501,0.0345,7.1877,0.0957,11.0623
963,上港集团,0.1501,0.0396,0.4977,0.0921,18.0265
964,步长制药,0.1501,0.1024,1.0751,0.3326,41.6653
965,万孚生物,0.1501,0.092,0.7144,0.4585,47.2883
966,强生控股,0.1496,0.1001,9.3025,0.2438,27.2964
967,宝钢股份,0.1496,0.1361,1.9592,0.3126,34.2123
968,华谊兄弟,0.1496,0.0316,,0.0658,8.0228
969,金陵药业,0.1496,0.1117,1.5018,0.679,71.3398
970,高伟达,0.1495,0.0997,2.1536,0.2029,28.4601
971,天润乳业,0.1495,0.121,1.8515,0.3004,37.3468
972,康旗股份,0.1495,0.1148,,0.6452,97.4115
973,中国石油,0.1494,0.1445,4.8552,0.3441,59.9545
974,南风股份,0.1494,0.0492,,0.1706,34.0197
975,佩蒂股份,0.1494,0.11,0.9181,0.6418,64.9034
976,万向德农,0.1486,0.0497,0.6739,0.1436,14.9438
977,福成股份,0.1482,0.0766,1.3392,0.2922,32.4482
978,天创时尚,0.14800000000000002,0.11199999999999999,1.2405,0.563,57.5935
979,号百控股,0.1479,0.1004,2.4429,0.3905,39.4367
980,上海能源,0.1476,0.068,1.7376,0.1942,21.9566
981,现代制药,0.1474,0.1014,1.56,0.2081,25.4114
982,惠城环保,0.1473,0.0775,0.7947,0.1554,19.5116
983,海利得,0.1472,0.1093,1.4823,0.2802,28.7212
984,四方股份,0.1471,0.0922,2.5854,0.3098,31.6402
985,申科股份,0.1471,0.0384,5.856,0.2497,31.504
986,中钢国际,0.1471,0.0791,2.8879,0.11199999999999999,11.452
987,瑞普生物,0.147,0.0583,1.2399,0.235,26.2797
988,中油工程,0.1469,0.0919,8.9966,0.1226,12.5622
989,索通发展,0.1469,0.0833,2.4032,0.1596,20.6407
990,智莱科技,0.1468,0.147,0.6172,0.5077,53.4174
991,安洁科技,0.1465,0.0592,0.956,0.2823,30.1674
992,园城黄金,0.1464,0.0111,,0.0164,1.6445
993,圣邦股份,0.1462,0.0788,0.8069,0.4503,60.293
994,亚宝药业,0.1462,0.0884,1.5019999999999998,0.2352,25.2171
995,赛轮轮胎,0.1461,0.1307,3.0428,0.2228,23.7003
996,南都物业,0.146,0.1152,1.6128,0.222,22.204
997,盘江股份,0.1458,0.0676,0.9403,0.1425,22.9695
998,深圳燃气,0.1456,0.0941,1.7257,0.1848,30.0104
999,上海莱士,0.1455,0.0231,,0.5301,61.8229
1000,法兰泰克,0.1451,0.0602,1.6811,0.1158,16.252
1001,华立股份,0.145,0.0865,1.3192,0.4552,54.3083
1002,科大讯飞,0.145,0.075,1.8579,0.1619,19.7521
1003,江苏国信,0.145,0.0568,0.9294,0.1325,16.6235
1004,珠海港,0.1448,0.0554,1.9616,0.1059,19.9694
1005,南兴股份,0.1447,0.0835,0.9956,0.5523,67.1723
1006,卫光生物,0.1447,0.0682,0.6355,0.6483,86.1828
1007,冀中能源,0.1447,0.0678,2.9586,0.1283,21.004
1008,莱美药业,0.1446,0.0719,2.4786,0.1594,18.6003
1009,宏大爆破,0.1446,0.0998,2.4988,0.2087,24.2481
1010,新泉股份,0.1443,0.1257,1.7422,0.214,25.7923
1011,新华网,0.1442,0.0572,0.7998,0.2058,42.3988
1012,东睦股份,0.1442,0.0805,0.7972,0.4954,55.1218
1013,杭锅股份,0.1439,0.0616,2.2783,0.1021,12.3253
1014,京华激光,0.1437,0.0885,0.8326,0.5914,62.4359
1015,海量数据,0.1437,0.1171,1.4358,0.3421,47.9474
1016,德宏股份,0.1434,0.0723,0.5957,0.3072,37.4228
1017,*ST康得,0.1432,0.0383,4.6187,0.0814,11.4545
1018,丽珠集团,0.1431,0.0727,1.0727,0.2229,23.6075
1019,华天酒店,0.1431,0.0191,,0.0289,4.7172
1020,华润三九,0.1423,0.106,1.2959,0.2785,30.2577
1021,九洲药业,0.1422,0.0801,1.6982,0.5026,57.7371
1022,泰胜风能,0.1421,0.0605,22.8235,0.1673,17.2346
1023,海正药业,0.142,0.0662,,0.0999,15.1336
1024,驰宏锌锗,0.142,0.0845,4.4097,0.1785,25.0306
1025,北辰实业,0.1418,0.0276,1.2708,0.0337,5.0544
1026,伯特利,0.1418,0.1027,1.2229,0.242,28.2745
1027,维格娜丝,0.1416,0.0658,1.4058,0.11,35.9817
1028,德美化工,0.1415,0.0801,3.7131,0.2613,43.7073
1029,鄂武商A,0.1415,0.1095,2.3866,0.1712,20.0236
1030,梅安森,0.1414,0.0333,,0.0976,11.4199
1031,保隆科技,0.1413,0.1047,1.6078,0.1558,23.3611
1032,双林股份,0.1413,0.1043,,0.1638,21.2238
1033,镇海股份,0.1411,0.0878,1.6669,0.3392,35.2553
1034,聚龙股份,0.1408,0.0373,,0.1204,56.5794
1035,太空智造,0.1408,0.0714,2.0684,0.1423,16.4115
1036,福莱特,0.1406,0.062,1.0579,0.1312,19.1511
1037,三维工程,0.1404,0.0434,1.4269999999999998,0.19399999999999998,19.4221
1038,马应龙,0.1403,0.1053,1.8732,0.5364,66.6506
1039,盐津铺子,0.1403,0.1341,2.1822,0.3017,31.2636
1040,海兰信,0.1401,0.0497,0.7851,0.2312,26.8726
1041,北京君正,0.1401,0.0304,2.6911,0.6489,156.6492
1042,宝钢包装,0.1401,0.1247,15.754000000000001,0.20600000000000002,22.6526
1043,安阳钢铁,0.1401,0.1356,2.4992,0.1821,20.4395
1044,潍柴动力,0.1398,0.1084,1.9149,0.1557,25.1212
1045,陕西金叶,0.1396,0.0523,5.7546,0.1132,13.1069
1046,大立科技,0.1396,0.0407,1.0621,0.1433,16.4257
1047,金运激光,0.1396,0.0836,3.7853,0.3041,30.7421
1048,建设机械,0.1395,0.0392,2.0263,0.0682,8.5452
1049,中信重工,0.1393,0.0368,4.7937,0.0589,7.9259
1050,翔鹭钨业,0.1393,0.1166,1.9934,0.2235,24.1146
1051,沃华医药,0.1393,0.11699999999999999,2.6974,0.4761,50.6572
1052,吉华集团,0.1393,0.0805,0.5416,0.6046,63.8419
1053,飞科电器,0.1393,0.1498,0.6566,0.5065,52.8206
1054,*ST金山,0.1393,0.0495,,0.0565,8.7993
1055,德尔未来,0.139,0.0956,2.3172,0.3,30.186
1056,双成药业,0.1389,0.0418,,0.10400000000000001,43.8428
1057,永新股份,0.1388,0.1277,1.4044,0.4879,53.4856
1058,海普瑞,0.1387,0.0489,1.1278,0.0901,14.8268
1059,悦心健康,0.1386,0.0595,6.0488,0.1022,15.2186
1060,凯普生物,0.1385,0.0677,0.7531,0.7432,83.3643
1061,中粮糖业,0.1385,0.1559,4.356,0.3027,31.4333
1062,众生药业,0.1384,0.0623,0.7591,0.2526,36.714
1063,综艺股份,0.1384,0.0113,2.1122,0.0561,6.1662
1064,大亚圣象,0.1382,0.1446,1.3119999999999998,0.4113,41.2398
1065,长源电力,0.1379,0.0966,4.1957,0.1561,23.241999999999997
1066,中材科技,0.1379,0.0657,1.5919999999999999,0.1212,17.727
1067,海思科,0.1379,0.1083,1.4883,0.1993,23.0712
1068,桂发祥,0.1376,0.0585,0.7865,1.3869999999999998,187.0515
1069,兖州煤业,0.1376,0.1101,2.1052,0.1889,37.9837
1070,东阿阿胶,0.1375,0.0728,0.4836,0.3971,40.9198
1071,二六三,0.1373,0.0502,1.7148,0.2282,23.6377
1072,珠江实业,0.1372,0.0279,1.6911,0.0368,10.2421
1073,沪电股份,0.1369,0.114,1.3189,0.2906,37.7164
1074,赣锋锂业,0.1369,0.0507,0.5599,0.1236,17.8809
1075,松芝股份,0.1368,0.0855,2.569,0.2176,24.0839
1076,隆利科技,0.1367,0.1399,1.3105,0.2958,30.0898
1077,中颖电子,0.1367,0.1003,0.642,0.6333,66.7981
1078,南京高科,0.1367,0.0179,0.4343,0.0292,3.1312
1079,西藏天路,0.1366,0.0801,0.7993,0.1607,24.3346
1080,奥士康,0.1365,0.0977,1.2767,0.3221,33.4569
1081,平煤股份,0.1365,0.0562,3.1166,0.0803,12.8715
1082,九芝堂,0.1364,0.0811,1.3167,0.4544,50.0063
1083,数字政通,0.1364,0.0569,1.5501,0.1935,19.8604
1084,铁岭新城,0.1364,0.0365,2.1901,0.0813,16.5737
1085,南方航空,0.1364,0.0794,5.667000000000001,0.1163,23.4027
1086,联发股份,0.1363,0.1338,1.4552,0.5532,58.3877
1087,科森科技,0.1362,0.0661,2.6356,0.109,14.6243
1088,恒康医疗,0.1361,0.0597,,0.0886,17.6258
1089,海航控股,0.1361,0.0451,,0.0678,7.3407
1090,德赛西威,0.136,0.1296,1.7682,0.4317,54.4182
1091,东材科技,0.136,0.0704,6.8348,0.2754,34.2211
1092,格力电器,0.136,0.1072,1.0213,0.17,17.0851
1093,光弘科技,0.1358,0.1019,0.7923,0.6974,86.4687
1094,伊力特,0.1358,0.0867,0.6651,0.3698,37.6695
1095,诺德股份,0.1357,0.0433,2.5025,0.0653,8.4393
1096,景峰医药,0.1357,0.0671,1.7676,0.1484,25.3734
1097,同仁堂,0.1357,0.0942,1.0581,0.3242,39.8066
1098,吉祥航空,0.1357,0.0908,1.5722,0.1644,22.6753
1099,振兴生化,0.1356,0.0885,1.5564,0.1671,17.4657
1100,穗恒运A,0.1356,0.040999999999999995,4.1281,0.0697,7.9601
1101,威创股份,0.1353,0.0355,0.9319,0.1806,28.7959
1102,润和软件,0.1351,0.0433,0.894,0.1611,17.299
1103,神州泰岳,0.1348,0.040999999999999995,3.4518,0.1937,20.7278
1104,云内动力,0.1347,0.0714,3.8326,0.1301,14.3623
1105,哈三联,0.1346,0.1164,1.4309,0.5378,65.3989
1106,星宇股份,0.1346,0.0942,1.1224,0.2371,25.3103
1107,特锐德,0.1342,0.0593,4.2186,0.0806,8.9612
1108,永清环保,0.134,0.0383,,0.071,7.7876
1109,龙泉股份,0.1338,0.04,,0.0989,10.5895
1110,新莱应材,0.1338,0.0814,4.1035,0.131,15.6718
1111,三晖电气,0.1337,0.0495,0.8412,0.1854,18.5401
1112,美康生物,0.1336,0.0911,1.6841,0.18,19.3974
1113,巨星科技,0.1335,0.0854,1.0776,0.3222,51.591
1114,山鹰纸业,0.1333,0.0905,0.9451,0.1452,21.49
1115,中国船舶,0.133,0.0497,3.7065,0.0912,13.0502
1116,今创集团,0.1329,0.0566,0.9519,0.114,15.0602
1117,国睿科技,0.1329,0.0484,3.6674,0.1272,13.0193
1118,江苏神通,0.1326,0.0437,1.3953,0.0966,10.3711
1119,东宝生物,0.1325,0.0501,1.7659,0.134,16.4673
1120,中南传媒,0.1325,0.0626,0.9253,0.2085,21.4744
1121,八菱科技,0.1324,0.0392,13.0493,0.1755,19.3126
1122,嘉化能源,0.1323,0.0909,0.6712,0.4658,64.2109
1123,珍宝岛,0.1321,0.0449,0.7928,0.1149,12.9203
1124,航民股份,0.1321,0.152,1.245,0.5679,60.5579
1125,光洋股份,0.1321,0.0822,,0.2332,26.1689
1126,大众交通,0.132,0.028999999999999998,0.4787,0.0709,8.9415
1127,益民集团,0.132,0.068,1.7871,0.3143,31.7863
1128,大业股份,0.1318,0.1003,1.565,0.1916,20.578000000000003
1129,文化长城,0.1315,0.0349,0.7067,0.0783,9.8798
1130,创业慧康,0.1315,0.0551,0.7709999999999999,0.2355,23.8754
1131,菲利华,0.1314,0.0679,0.5874,0.2807,30.9185
1132,汉宇集团,0.1314,0.0639,0.6701,0.3528,38.423
1133,ST双环,0.1314,0.1144,6.2954,0.1192,15.1382
1134,华星创业,0.1314,0.0901,,0.146,15.0035
1135,隆基机械,0.1313,0.0724,3.2201,0.2332,23.6765
1136,豫能控股,0.1313,0.0498,,0.0715,13.6283
1137,内蒙一机,0.1307,0.0789,2.9856,0.1357,14.1688
1138,普洛药业,0.1306,0.1448,2.2471,0.34600000000000003,37.7862
1139,上海贝岭,0.1306,0.0378,0.9908,0.4095,50.0328
1140,联化科技,0.1306,0.0623,11.4246,0.1853,19.0172
1141,五矿资本,0.1302,0.0089,0.4007,0.0127,1.5945
1142,天舟文化,0.1298,0.0384,,0.2259,26.3703
1143,紫光国微,0.1296,0.0556,0.9142,0.1655,30.9988
1144,信维通信,0.1294,0.0844,0.6153,0.1734,28.8367
1145,仁和药业,0.1293,0.1233,0.9749,0.8116,82.4046
1146,旷达科技,0.1293,0.0527,1.008,0.4449,45.0782
1147,锦浪科技,0.1291,0.1655,0.9091,0.3592,36.0421
1148,新诺威,0.1288,0.1148,0.7120000000000001,0.408,45.7219
1149,深桑达A,0.1288,0.0957,1.8439,0.3234,33.3691
1150,博汇纸业,0.1287,0.057999999999999996,4.1919,0.0804,11.7959
1151,滨海能源,0.1287,0.1573,2.3952,0.4172,55.4571
1152,东方材料,0.1287,0.0686,1.5404,0.4885,50.5396
1153,百大集团,0.1286,0.0502,0.8965,0.33799999999999997,44.9543
1154,片仔癀,0.1285,0.092,0.5425,0.4535,47.476000000000006
1155,靖远煤电,0.1285,0.0519,0.9172,0.1859,20.9694
1156,世联行,0.1284,0.0732,2.1325,0.124,12.668
1157,苏常柴A,0.1284,0.0773,4.4046,0.1851,19.9986
1158,洁美科技,0.1284,0.0796,0.6115,0.3017,45.7704
1159,天科股份,0.1282,0.0648,1.0024,0.1628,23.9945
1160,茶花股份,0.1282,0.0668,1.43,0.8375,87.6842
1161,丰林集团,0.1281,0.0545,1.4581,0.1884,29.5895
1162,光莆股份,0.1281,0.0821,0.8257,0.1713,17.2096
1163,中际旭创,0.128,0.0817,1.0592,0.1998,23.0169
1164,浪潮软件,0.128,0.0493,0.4944,0.2178,22.85
1165,宁夏建材,0.1277,0.075,1.1112,0.2769,29.844
1166,常宝股份,0.1277,0.1069,1.2882,0.3475,35.7487
1167,中电电机,0.1277,0.057,1.1347,0.1901,19.0137
1168,濮耐股份,0.1271,0.0956,2.0786,0.2019,20.7126
1169,方大集团,0.127,0.0363,0.1723,0.0709,12.0579
1170,飞凯材料,0.1269,0.0526,0.6361,0.1467,18.0612
1171,精测电子,0.1268,0.0672,0.5813,0.1247,12.7297
1172,海川智能,0.1267,0.0415,0.4403,0.5194,51.9368
1173,通源石油,0.1267,0.0693,1.3833,0.1861,27.7537
1174,海澜之家,0.1267,0.0818,0.7001,0.1467,18.7764
1175,美联新材,0.1267,0.0785,1.1681,0.2193,22.4534
1176,凯龙股份,0.1266,0.0619,1.7874,0.1262,27.2607
1177,利达光电,0.1264,0.1257,1.9601,0.1976,20.7479
1178,奥赛康,0.1264,0.1681,0.7432,0.445,47.7607
1179,安迪苏,0.1263,0.0672,1.1859,0.3555,56.3929
1180,腾龙股份,0.1263,0.0797,1.0275,0.235,29.5909
1181,太钢不锈,0.1263,0.1282,1.8758,0.2246,31.3473
1182,华友钴业,0.1261,0.0956,1.1954,0.1711,20.3006
1183,万里扬,0.126,0.0559,1.5621,0.1463,14.8924
1184,聚光科技,0.1259,0.0611,0.7209,0.1211,13.0597
1185,北纬科技,0.1255,0.0229,0.7403,0.2906,32.387
1186,钱江生化,0.1255,0.0587,,0.1667,25.27
1187,深南电A,0.1255,0.0715,18.9967,0.1862,20.7135
1188,鲁阳节能,0.1255,0.0824,0.753,0.2978,30.4654
1189,中国汽研,0.1254,0.0606,0.8557,0.2818,32.7819
1190,复旦复华,0.1254,0.0486,2.5522,0.0917,10.4611
1191,上海家化,0.1253,0.0881,1.6556,0.2058,33.2415
1192,波导股份,0.1252,0.0725,2.2969,0.4403,45.7442
1193,福蓉科技,0.1252,0.1084,0.7736,0.2724,28.6274
1194,老白干酒,0.1252,0.0819,1.2801,0.1647,17.570999999999998
1195,楚天科技,0.1252,0.0491,4.9443,0.1153,12.4284
1196,黑猫股份,0.1251,0.1382,2.458,0.2734,28.1491
1197,昊志机电,0.1247,0.0393,1.0215,0.0909,12.5431
1198,大元泵业,0.1247,0.1089,0.8292,0.518,55.4579
1199,今飞凯达,0.1246,0.0877,5.4555,0.1149,12.2812
1200,亚太股份,0.1245,0.083,38.3286,0.1605,23.8556
1201,万达电影,0.1244,0.0758,1.3556,0.1669,26.9488
1202,海特生物,0.1243,0.0341,0.8028,0.1647,17.0293
1203,好利来,0.1242,0.0454,1.0653,0.4392,44.5595
1204,氯碱化工,0.1241,0.1758,0.8451,0.7737,87.1198
1205,中环股份,0.1241,0.04,2.1643,0.0633,9.9202
1206,星期六,0.1241,0.0619,10.9796,0.1221,14.4772
1207,读者传媒,0.124,0.0471,2.3333,0.3462,54.0744
1208,佛燃股份,0.1239,0.1152,1.3712,0.264,35.8193
1209,云南能投,0.1239,0.0429,1.4725,0.1126,23.4987
1210,隆鑫通用,0.1238,0.1157,1.3879,0.2815,30.2039
1211,吉林森工,0.1237,0.0289,3.9431,0.0537,6.7506
1212,利德曼,0.1237,0.0469,1.3034,0.2777,30.6216
1213,红阳能源,0.1237,0.0591,8.044,0.0918,10.5292
1214,三德科技,0.1235,0.0517,0.9019,0.2364,30.9243
1215,科远智慧,0.1235,0.0307,0.6517,0.2075,21.5363
1216,白云山,0.1235,0.1013,1.4763,0.1841,19.3585
1217,华荣股份,0.1234,0.0794,1.3203,0.1892,19.2033
1218,深天马A,0.1233,0.0594,3.6236,0.1048,18.7893
1219,超华科技,0.1232,0.062,4.9926,0.1414,15.2121
1220,苏试试验,0.1232,0.0527,0.9014,0.132,14.655999999999999
1221,新国都,0.12300000000000001,0.0686,1.1504,0.1399,14.9147
1222,启明星辰,0.12300000000000001,0.0633,0.5538,0.2429,25.4566
1223,河北宣工,0.1229,0.0493,2.8778,0.152,28.9474
1224,湖南盐业,0.1229,0.0792,1.6355,0.2801,36.6941
1225,新余国科,0.1228,0.0502,0.3532,0.303,44.6605
1226,三力士,0.1228,0.0427,1.4288,0.1655,60.974
1227,雪浪环境,0.1226,0.0445,3.0867,0.0841,11.0469
1228,奥拓电子,0.1226,0.085,1.0468,0.1978,20.2733
1229,常熟汽饰,0.1224,0.0392,0.5319,0.0873,10.7987
1230,金海环境,0.1224,0.0684,1.0639,0.2686,27.7842
1231,华夏航空,0.1224,0.067,2.1067,0.0921,22.3892
1232,创新医疗,0.1222,0.0303,4.3228,0.1995,27.064
1233,奥联电子,0.1221,0.055,0.9304,0.1357,15.6621
1234,东音股份,0.122,0.0814,1.0249,0.23199999999999998,46.1597
1235,积成电子,0.1219,0.0638,2.6292,0.1386,16.6237
1236,康强电子,0.1218,0.1075,1.9562,0.2076,22.0017
1237,风范股份,0.1217,0.0519,8.0275,0.1334,13.5784
1238,我乐家居,0.1216,0.102,1.2925,0.2844,31.309
1239,鹏鹞环保,0.1215,0.0165,0.5672,0.038,6.09
1240,亿晶光电,0.1214,0.0645,6.2841,0.1423,22.4366
1241,新华文轩,0.1214,0.0748,1.072,0.2035,20.7865
1242,宝泰隆,0.1213,0.0395,1.2997,0.1045,13.9459
1243,冀凯股份,0.1212,0.0497,3.3526,0.3645,59.114
1244,绿地控股,0.121,0.0407,2.6319,0.0455,5.6439
1245,浙大网新,0.1208,0.0638,2.0758,0.2125,22.1075
1246,诺邦股份,0.1206,0.076,1.5730000000000002,0.2054,21.4736
1247,西仪股份,0.1206,0.0663,,0.1901,23.6733
1248,维力医疗,0.1205,0.0635,1.5925,0.1895,34.7748
1249,万邦达,0.1205,0.0215,,0.0947,10.5726
1250,深圳新星,0.1205,0.069,1.0598,0.2603,28.4705
1251,金晶科技,0.1205,0.064,7.3446,0.1149,12.7017
1252,东阳光,0.1204,0.0716,0.9414,0.1354,17.2905
1253,玲珑轮胎,0.1204,0.0714,1.5592,0.1167,17.4605
1254,纽威股份,0.1204,0.0672,1.2327,0.1518,15.6729
1255,宏发股份,0.1203,0.0931,0.8617,0.2841,30.5572
1256,岳阳林纸,0.1203,0.0568,2.3061,0.1264,14.8176
1257,康弘药业,0.1203,0.0675,0.5049,0.3158,56.5972
1258,瑞尔特,0.1203,0.069,0.7427,0.6018,66.9678
1259,亚太科技,0.12,0.0789,1.1483,0.7611,78.8428
1260,坤彩科技,0.12,0.0482,0.3912,0.434,51.6903
1261,金安国纪,0.1199,0.1059,1.4551,0.2725,28.6063
1262,东方国信,0.1199,0.0392,0.451,0.2384,24.9342
1263,赣能股份,0.1199,0.0406,1.6325,0.1053,12.8429
1264,万丰奥威,0.1196,0.0983,1.3123,0.2009,29.1295
1265,浙能电力,0.1196,0.0618,1.5651,0.1671,41.2629
1266,澄天伟业,0.1196,0.0646,0.775,0.4968,54.4533
1267,柳钢股份,0.1194,0.2265,1.226,0.3919,44.7094
1268,华锋股份,0.1193,0.0435,0.9809,0.1504,16.7084
1269,瑞丰光电,0.1193,0.0772,2.191,0.1734,20.1623
1270,皇马科技,0.1193,0.1086,1.0411,0.4518,117.9695
1271,泰禾光电,0.1192,0.0482,0.6042,0.4073,46.0076
1272,维尔利,0.1192,0.0341,0.9963,0.0705,10.333
1273,乔治白,0.1191,0.0765,1.0234,0.2631,28.4472
1274,天顺股份,0.11900000000000001,0.1127,,0.2083,23.8968
1275,新世界,0.1189,0.057,1.2075,0.2444,29.1614
1276,双良节能,0.1189,0.0766,1.1624,0.1846,18.5741
1277,皖江物流,0.1188,0.0785,2.3116,0.1984,36.5019
1278,世运电路,0.1188,0.081,1.1399,0.3272,33.4814
1279,南山控股,0.1188,0.0266,1.1113,0.0404,5.9683
1280,三花智控,0.1188,0.0924,0.9819,0.2461,26.8649
1281,招商蛇口,0.1187,0.0248,0.5384,0.0333,4.5436
1282,中国出版,0.1187,0.054000000000000006,1.0228,0.1367,20.4414
1283,复星医药,0.1184,0.0418,0.9769,0.0798,16.4597
1284,富安娜,0.1183,0.0755,0.6355,0.3411,34.7126
1285,华宇软件,0.1182,0.0549,0.6551,0.2115,21.505
1286,中远海特,0.1182,0.0413,10.3209,0.0741,17.0353
1287,永利股份,0.1178,0.0886,1.001,0.2904,30.6012
1288,天际股份,0.1177,0.0253,1.2089,0.1721,17.9409
1289,祥龙电业,0.1176,0.0308,0.8617,0.0482,4.824
1290,方直科技,0.1175,0.0202,1.0409,0.4258,46.1121
1291,上海新阳,0.1174,0.0429,10.7026,0.2555,26.2601
1292,攀钢钒钛,0.1173,0.1499,0.5624,0.4262,49.603
1293,宝莫股份,0.1172,0.0501,,0.1576,32.6482
1294,金城医药,0.1171,0.0666,1.2475,0.2939,37.9345
1295,艾比森,0.1171,0.1099,0.9888,0.2757,27.7675
1296,金域医学,0.11699999999999999,0.1338,2.0738,0.2646,36.2551
1297,贝因美,0.1169,0.0577,5.7574,0.0911,11.1768
1298,三元股份,0.1168,0.0646,4.6762,0.1159,29.7564
1299,川金诺,0.1166,0.10800000000000001,1.7556,0.3489,34.8901
1300,永贵电器,0.1166,0.0529,,0.3093,33.4795
1301,安利股份,0.1165,0.0937,9.0346,0.1909,20.6471
1302,集泰股份,0.1162,0.1235,5.7836,0.2603,26.5887
1303,丰山集团,0.1161,0.1025,1.1017,0.3997,44.1922
1304,元利科技,0.1161,0.1252,0.6575,0.4166,43.4524
1305,智能自控,0.11599999999999999,0.0438,0.6918,0.1227,13.2991
1306,网宿科技,0.11599999999999999,0.0616,0.9218,0.2257,28.392
1307,天奥电子,0.1159,0.0678,1.0313,0.3415,36.1868
1308,东富龙,0.1158,0.0474,2.5472,0.1413,14.6644
1309,嘉应制药,0.1157,0.0698,1.7309,0.596,89.7905
1310,中关村,0.1157,0.0582,1.6977,0.1256,15.408
1311,比音勒芬,0.1157,0.0806,0.5845,0.3485,35.634
1312,深南电路,0.1156,0.1031,1.2589,0.1831,25.4014
1313,好想你,0.1155,0.1032,5.2462,0.2605,31.1737
1314,迪森股份,0.1154,0.0594,0.9836,0.1126,12.7671
1315,德展健康,0.1154,0.0641,0.4081,0.5933,60.8828
1316,诺力股份,0.1153,0.0833,1.475,0.1662,17.2577
1317,溢多利,0.1153,0.0425,1.3544,0.0852,14.1378
1318,阳泉煤业,0.1152,0.0816,1.8,0.1555,16.5479
1319,千金药业,0.1152,0.1104,1.2674,0.3678,40.1146
1320,花王股份,0.1151,0.0424,1.2862,0.0643,7.8653
1321,贝瑞基因,0.1148,0.0759,0.6365,0.7015,73.3568
1322,天虹股份,0.1147,0.135,2.4259,0.2266,22.953000000000003
1323,京粮控股,0.1147,0.1729,4.0268,0.4091,44.4354
1324,大丰实业,0.1145,0.0625,0.8946,0.1309,13.5451
1325,世纪华通,0.1145,0.0555,0.9672,0.325,52.8902
1326,博威合金,0.1144,0.1286,2.0352,0.3675,42.7331
