code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000070,特发信息,通信设备,深圳,65.77,7.31,7.52,751390.63,562276.13,68718.92,73884.7,0.98,0.049,3.13,4.08,20000511,84200.86,1.12,2.55,-28.06,14.54,2.93,78332.0
300627,华测导航,通信设备,上海,67.36,1.03,2.46,134975.25,115006.15,3601.71,38637.59,1.57,0.07400000000000001,3.72,5.37,20170321,32155.63,1.31,21.26,56.06,51.66,9.73,16516.0
300555,路通视信,通信设备,江苏,335.61,0.87,2.0,83059.6,67964.99,9154.5,16954.46,0.85,0.008,3.17,3.2,20161018,23263.99,1.16,-19.34,-71.82,23.41,2.67,18100.0
300504,天邑股份,通信设备,四川,32.23,0.99,2.67,258722.75,235152.41,16381.8,75965.82,2.84,0.187,6.75,3.58,20180330,70109.9,2.62,6.97,-4.26,17.92,7.07,31844.0
603322,超讯通信,通信设备,广东,0.0,0.63,1.57,216017.22,180559.02,6080.23,22177.57,1.42,-0.146,2.98,7.0,20160728,13214.86,0.84,34.04,-237.44,17.48,-7.88,16578.0
603083,剑桥科技,通信设备,上海,0.0,0.66,1.29,271429.0,174940.67,44224.4,58079.75,4.51,-0.033,8.74,3.32,20171110,39155.12,3.04,1.07,89.73,13.86,-0.61,16024.0
603803,瑞斯康达,通信设备,北京,29.66,2.2,4.21,407883.34,356414.97,27717.58,68512.63,1.63,0.099,5.98,1.96,20170420,123969.55,2.94,60.8,16.38,30.37,5.73,32143.0
300578,会畅通讯,通信设备,上海,32.11,0.61,1.67,149657.38,62787.45,3707.53,72210.2,4.32,0.19699999999999998,5.88,4.3,20170125,9009.87,0.54,119.26,455.84,52.52,26.66,6524.0
600562,国睿科技,通信设备,江苏,143.92,6.02,6.22,287243.5,267192.06,12018.5,35164.96,0.57,0.027999999999999997,2.88,5.54,20030128,71689.82,1.15,17.69,-1.55,22.88,8.4,28100.0
300322,硕贝德,通信设备,广东,70.54,3.67,4.07,200042.22,118126.57,60412.82,202.41,0.0,0.045,1.46,8.68,20120608,15304.75,0.38,7.44,17.48,23.14,4.7,29931.0
601138,工业富联,通信设备,深圳,23.13,11.18,198.44,16942480.0,15897840.0,719936.38,2521415.75,1.27,0.15,3.81,3.52,20180608,2958454.0,1.49,3.12,8.31,8.18,3.59,303691.0
300213,佳讯飞鸿,通信设备,北京,142.19,4.44,5.95,305515.72,204073.42,17553.28,75532.31,1.27,0.012,3.24,2.12,20110505,55564.69,0.93,-10.55,-42.67,36.39,3.25,35373.0
300502,新易盛,通信设备,四川,45.19,1.61,2.38,141461.66,98269.61,31457.78,39339.0,1.65,0.136,4.91,5.01,20160303,52438.96,2.2,26.13,991.05,29.63,14.48,14057.0
603660,苏州科达,通信设备,江苏,36.23,2.38,3.6,264433.44,225034.8,20994.78,40444.51,1.12,0.139,5.08,3.98,20161201,112424.82,3.12,20.72,27.97,64.09,8.86,18395.0
002929,润建股份,通信设备,广西,32.89,0.77,2.21,411118.13,397596.06,6108.33,140630.59,6.37,0.218,12.14,2.36,20180301,90761.78,4.11,13.86,22.77,19.46,6.42,35452.0
600898,国美通讯,通信设备,山东,0.0,2.53,2.53,286958.06,183874.31,12761.99,4507.93,0.18,-0.145,0.16,54.96,19960418,-36627.51,-1.45,-49.63,-803.27,5.84,-8.8,22142.0
300074,华平股份,通信设备,上海,0.0,4.88,5.42,152114.86,79801.61,29820.2,24210.76,0.45,-0.022000000000000002,2.2,1.98,20100427,39023.53,0.72,-17.26,-28.01,43.63,-16.68,28867.0
000561,烽火电子,通信设备,陕西,0.0,5.94,6.05,298486.16,235237.8,26977.5,21084.03,0.35,-0.03,2.24,3.24,19940509,59786.01,0.99,-2.28,6.22,37.48,-10.4,51597.0
600745,闻泰科技,通信设备,湖北,120.15,6.37,6.37,2895482.0,1201571.25,57476.46,238160.3,3.74,0.067,5.7,5.68,19960828,56957.18,0.89,184.6,175.07,7.02,0.88,21634.0
601869,长飞光纤,通信设备,湖北,27.57,0.76,7.58,1309726.25,749036.63,215849.52,335350.69,4.42,0.33399999999999996,11.11,3.32,20180720,374644.0,4.94,-35.15,-31.89,27.34,15.85,42854.0
002881,美格智能,通信设备,深圳,129.96,0.45,1.81,79466.88,70434.63,6803.22,17149.82,0.95,0.034,2.95,6.03,20170622,16427.25,0.91,53.78,-40.51,18.63,3.33,14205.0
300560,中富通,通信设备,福建,92.25,0.67,1.58,99024.2,65956.9,9201.96,9575.73,0.61,0.048,3.43,5.2,20161101,25988.42,1.65,29.82,-16.78,27.42,5.15,13741.0
300711,广哈通信,通信设备,广东,0.0,0.45,1.44,63073.75,55102.19,5906.46,25584.46,1.77,-0.023,3.86,4.99,20171101,13190.92,0.91,60.93,44.4,46.83,-12.9,16626.0
002017,东信和平,通信设备,广东,191.42,4.46,4.46,205493.67,167870.11,20567.97,51100.73,1.14,0.018000000000000002,3.09,4.58,20040713,34126.87,0.76,4.24,3.23,26.9,3.25,88664.0
603602,纵横通信,通信设备,浙江,0.0,0.93,1.57,114515.86,99956.57,1266.85,21336.5,1.36,-0.03,4.28,4.88,20170810,29999.9,1.91,16.55,-35.11,13.74,-5.15,24969.0
