亨通光电,8344.511292332414
中天科技,8266.387726931736
烽火通信,5761.43605552449
东山精密,4739.0727551723
凯乐科技,4102.332074380629
闻泰科技,4003.233688159735
长飞光纤,2943.6767167835133
航天通信,2925.6811675435692
星网锐捷,2232.45152885775
共进股份,1960.9197891863314
海能达,1703.2214839960793
特发信息,1375.8812088817024
中际旭创,1327.4284469956642
信维通信,1305.881717446429
四创电子,1269.1417189197668
光迅科技,1209.8457417322807
光迅科技,1209.8457417322807
通鼎互联,1150.2559208380194
南京熊猫,1072.5842248375095
日海智能,1035.24276056473
海格通信,1033.9986106627794
高新兴,942.3118206676425
航天发展,910.8300240997403
四川九洲,894.1423461021059
润建股份,792.6450408418677
永鼎股份,785.5145731621119
中嘉博创,755.6288299673106
剑桥科技,747.1618061677709
北斗星通,727.9770560299822
天邑股份,675.0967850959626
天邑股份,675.0967850959626
苏州科达,642.3027852077297
富通鑫茂,628.89344776055
金信诺,628.0809123029545
亿联网络,617.3152859847717
瑞斯康达,586.2810306748311
东方通信,583.081166496345
合众思壮,575.2128459120796
鼎信通讯,451.41544109276407
贝通信,438.40634499211757
光弘科技,433.5158088525263
七一二,428.7483015354851
硕贝德,412.8468052826735
润欣科技,394.2992076783427
数码科技,381.7175808736503
盛路通信,356.09501264096133
超讯通信,329.5115860283902
中海达,322.07114197624367
佳讯飞鸿,312.7324005102814
广和通,311.49015224492865
烽火电子,304.6283462147766
通宇通讯,303.53895358811445
东信和平,276.33923052144445
雷科防务,263.3866466555819
国睿科技,250.13545935275667
华测导航,248.18608941930466
东土科技,245.17646427184675
美格智能,240.87804589696879
瀛通通讯,224.27126692956026
新易盛,184.09259333635748
中通国脉,180.25610933414913
友讯达,176.3734450368613
立昂技术,166.82816561444778
百邦科技,154.41739214801296
纵横通信,147.38369322008785
金溢科技,147.16249646958838
移为通信,145.27081983594715
中富通,143.65144303146658
天孚通信,140.7670027619059
科信技术,131.26123301006533
上海瀚讯,130.2909720247
长江通信,112.92430741208082
吉大通信,112.25362215016105
华平股份,109.21316962585864
振芯科技,108.98985842427153
中国海防,101.96374319681411
星网宇达,100.49534302421468
神宇股份,99.47900798708923
淳中科技,92.34604072203427
万隆光电,85.16521280422963
路通视信,82.25989579070558
万马科技,71.94559349609688
会畅通讯,59.36387823110838
广哈通信,53.94511407688303
亿通科技,32.46853750946007
