,name,mbrg,nprg,nav,targ,epsg,seg
1298,太龙照明,44.1566,14.8568,9.9964,20.2317,-40.4494,8.8711
1299,南方轴承,0.9543,14.7878,2.9311,2.6587,14.7984,2.9311
1300,朗科科技,4.0999,14.7843,5.1079,4.9449,14.7884,5.1079
1301,凤凰传媒,6.6804,14.782,6.3213,5.7613,13.6433,7.6341
1302,天地科技,16.6518,14.7318,5.494,2.6559,1.7544,5.2275
1303,TCL集团,1.5977,14.6838,12.4277,20.2565,17.8145,2.5122
1304,东方嘉盛,27.2351,14.6782,10.6049,14.0693,-2.0,10.4084
1305,广东榕泰,3.4522,14.66,3.6641,-7.9225,15.7895,3.6708
1306,梦洁股份,19.3476,14.6525,0.3005,2.7089,57.1429,0.0246
1307,登云股份,3.7224,14.6211,2.3339,11.9202,11.6,2.3339
1308,南京银行,,14.6192,15.4748,8.9476,15.5963,15.5437
1309,万里马,14.7739,14.4829,14.6045,9.0205,-12.9173,8.2371
1310,招商银行,,14.4129,12.4564,7.1152,12.5899,12.4754
1311,华域汽车,11.8751,14.3979,9.3993,8.3602,22.4627,9.8851
1312,容大感光,16.424,14.3677,7.3955,6.0566,12.9032,7.3955
1313,卓郎智能,5.8226,14.347000000000001,-7.9563,-0.7987,-6.1677,110.833
1314,北斗星通,38.415,14.3047,-7.5360000000000005,-2.0344,0.0,-7.0226
1315,南洋股份,22.7392,14.2652,2.2263,3.3533,10.5263,2.2083
1316,科新机电,42.5317,14.265,0.5622,17.5012,12.5954,0.5622
1317,雅运股份,6.5079,14.2486,69.0244,50.9077,4.8544,74.1373
1318,中国石化,22.4976,14.2189,0.4202,-0.2003,23.4597,-1.2223
1319,新乳业,12.4415,14.2064,17.7485,-3.1986,10.3448,18.9174
1320,青农商行,,14.1947,19.1096,17.1624,11.6279,19.8608
1321,永新光学,9.2235,14.1893,133.6896,108.8496,5.9172,133.6896
1322,奇信股份,27.6626,14.1856,7.5891,13.8007,13.6364,7.9217
1323,浙江震元,10.867,14.1133,3.8693,3.3726,16.6667,3.9404
1324,通程控股,-4.0527,14.1054,35.6311,18.5518,10.5822,37.6227
1325,宝钢股份,5.4261,14.091,8.4671,-4.3097,12.7907,7.4985
1326,苏州龙杰,14.4173,14.0663,24.2878,18.6931,14.5695,24.2878
1327,昊华能源,4.2087,14.0313,7.567,1.392,15.3846,7.8058
1328,晋亿实业,17.0006,13.9951,4.1943,6.6444,15.7895,4.2101
1329,金太阳,46.6394,13.9851,16.3978,20.0744,-4.656000000000001,11.7396
1330,贵阳银行,,13.9764,39.8488,8.4506,13.198,40.9395
1331,华创阳安,-58.4057,13.9749,-0.2048,5.096,12.5,-0.2554
1332,大唐发电,44.5486,13.9061,17.0883,22.1673,-44.168,20.8497
1333,恒久科技,11.3332,13.8378,4.7449,10.3454,13.8365,4.7449
1334,北化股份,8.245,13.8263,5.4695,3.9991,9.5238,6.9654
1335,五洲交通,1.5164,13.8227,8.6171,-0.8465,-13.8322,9.138
1336,美盈森,13.7021,13.8147,2.9672,7.3963,15.5004,3.3897
1337,麦克奥迪,23.0368,13.812999999999999,-17.6244,11.0841,13.0164,-20.6215
1338,联泰环保,36.1681,13.7856,12.6717,33.9253,3.0303,5.1148
1339,北方国际,2.5835,13.7407,11.7425,-0.145,-20.6186,14.3927
1340,贝斯特,11.0417,13.7048,10.4368,12.6057,11.3308,10.4368
1341,开山股份,17.0407,13.6983,3.8265,26.7682,16.6667,3.9367
1342,航天信息,-6.0979,13.6981,10.786,10.0612,3.7826,8.4227
1343,万盛股份,17.6299,13.6609,3.1984,14.8455,19.4444,3.2724
1344,迪瑞医疗,7.575,13.6542,10.4621,7.4509,-34.3716,11.7245
1345,嘉化能源,0.4978,13.6447,1.1793,-5.6997,7.1429,1.1422
1346,重庆建工,3.6311,13.6034,23.8046,2.6176,0.0,4.5063
1347,中设股份,16.465999999999998,13.5805,12.1679,15.8621,-37.1429,13.3833
1348,百达精工,6.4513,13.5786,5.4478,5.2263,-1.7857,5.9458
1349,东风股份,18.7594,13.5766,6.7081,3.852,13.5593,8.3555
1350,凯乐科技,12.0185,13.5312,15.9507,16.753,18.0556,17.7865
1351,天士力,11.7769,13.526,24.8902,16.9053,-19.685,21.7131
1352,灵康药业,66.0994,13.4767,6.0576,25.2035,-19.3548,6.0576
1353,厦门国贸,25.4764,13.4623,-0.0915,6.4356,-8.7912,2.0991
1354,豪能股份,10.4435,13.457,6.167000000000001,9.3502,-40.8635,3.6549
1355,外高桥,-13.8798,13.4501,3.6362,1.7319,12.3077,2.5524
