四川九洲,6951.114289202536
中际旭创,207.139007462023
超讯通信,104.16946594533678
硕贝德,100.58826331403345
广和通,75.3896849764261
数码科技,73.6485840408187
共进股份,73.22808956425152
海能达,73.05851100448066
中通国脉,72.71219415665311
中富通,55.903294454683426
航天发展,55.560497927764914
航天通信,50.09286029341104
中海达,49.12348146862115
上海瀚讯,45.96777893140272
光弘科技,41.553566315941566
贝通信,36.67105105043199
东山精密,36.61604065010939
南京熊猫,30.72623852941676
盛路通信,29.285797485438643
亿联网络,28.403818682915215
海格通信,26.51988188252295
亿通科技,25.785993001198673
天孚通信,25.611701246135382
移为通信,25.446430814935674
长飞光纤,25.093147828038287
高新兴,24.201506957584485
四创电子,23.373796631191937
淳中科技,21.541272814447773
中嘉博创,18.81747110527144
七一二,17.759515828511176
中天科技,17.37660498543677
星网锐捷,16.903809989061276
信维通信,16.78238190373545
苏州科达,16.518131298967624
剑桥科技,15.90570099530143
凯乐科技,14.7885066993744
亨通光电,14.76034221528242
烽火电子,11.998846482728455
雷科防务,11.78019478766285
神宇股份,9.676782378623354
北斗星通,8.959802710531466
润建股份,8.543227453062556
特发信息,7.935970510371678
佳讯飞鸿,7.752224546361518
东方通信,6.775088839083025
吉大通信,4.23127176367028
东信和平,3.1183436040597963
烽火通信,1.0197157083992017
光迅科技,-0.47643409608916065
光迅科技,-0.47643409608916065
通鼎互联,-2.906555024506469
长江通信,-4.890804476378543
金信诺,-6.105735798295282
天邑股份,-8.48899814728955
天邑股份,-8.48899814728955
百邦科技,-10.172974379687377
华测导航,-14.41942747791261
合众思壮,-14.778062695813114
美格智能,-14.99049060775605
富通鑫茂,-16.684339093670587
瀛通通讯,-17.93195488585094
东土科技,-17.952963919692706
日海智能,-17.966459919421133
鼎信通讯,-19.333843089489452
永鼎股份,-21.19661700957663
友讯达,-23.10391998773
纵横通信,-23.646225545733408
中国海防,-27.39123412241919
瑞斯康达,-27.482854516278472
振芯科技,-35.50047532231444
立昂技术,-36.96224037337778
星网宇达,-38.535488071686096
会畅通讯,-40.40642947309195
通宇通讯,-42.89330048851848
润欣科技,-46.677960955287865
万隆光电,-49.72914948704347
华平股份,-50.34457167646812
新易盛,-53.93690120632199
闻泰科技,-55.35688580087198
广哈通信,-55.60211196431078
科信技术,-56.44162520925715
国睿科技,-59.43621126443872
路通视信,-60.02818946678113
金溢科技,-61.32719349414877
万马科技,-63.78097179158279
